studyid,TCid,IPT,author,comparison,VarPair,n_r1,n_t,n_c,rga,yi,vi,CMA_O,CMB_O,CMC_O,CMD_O,CME_O,CML2_O,CML29_O
78,1,0,Liddle & Spence (1990),CBT-g v. AP,3_ME_3_ME,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0
78,1,0,Liddle & Spence (1990),CBT-g v. AP,3_ML2_3_ML2,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0
78,2,0,Liddle & Spence (1990),CBT-g v. WL,0_1_1_MC,21,11,10,-0.094550256,-0.190167209,0.191770128,0,0,0,0,0,0,0
78,2,0,Liddle & Spence (1990),CBT-g v. WL,0_1_1_ME,21,11,10,0.115189725,0.232874876,0.192391379,0,0,0,0,0,0,0
78,2,0,Liddle & Spence (1990),CBT-g v. WL,0_1_3_MC,21,11,10,0.107070475,0.21562368,0.192016081,0,0,0,0,0,0,0
78,2,0,Liddle & Spence (1990),CBT-g v. WL,0_1_3_ME,21,11,10,0.157546155,0.319439445,0.193338652,0,0,0,0,0,0,0
78,2,0,Liddle & Spence (1990),CBT-g v. WL,1_MA_1_MA,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0
78,2,0,Liddle & Spence (1990),CBT-g v. WL,1_MC_1_MC,21,NA,NA,1,NA,NA,0,0,0,0,0,0,0
78,2,0,Liddle & Spence (1990),CBT-g v. WL,1_ME_1_ME,21,NA,NA,1,NA,NA,0,0,0,0,0,0,0
78,2,0,Liddle & Spence (1990),CBT-g v. WL,1_ML2_1_ML2,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0
78,2,0,Liddle & Spence (1990),CBT-g v. WL,3_MA_3_MA,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0
78,2,0,Liddle & Spence (1990),CBT-g v. WL,3_MC_3_MC,21,NA,NA,1,NA,NA,0,0,0,0,0,0,0
78,2,0,Liddle & Spence (1990),CBT-g v. WL,3_ME_3_ME,21,NA,NA,1,NA,NA,0,0,0,0,0,0,0
78,2,0,Liddle & Spence (1990),CBT-g v. WL,3_ML2_3_ML2,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,0_1_1_MA,26,15,11,-0.155031377,-0.317638984,0.159516037,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,0_1_1_MC,26,15,11,0.047972364,0.097212654,0.157757494,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,0_1_1_MD,26,15,11,0.072573705,0.147284618,0.157992926,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,0_1_1_ME,44.5,23,21.5,0.10556513,0.219068154,0.09149531,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,0_1_1_ML2,45,23,22,-0.070583212,-0.141554344,0.089155447,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,0_1_1_ML29,26,15,11,-0.018040397,-0.036521462,0.157601408,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,0_1_3_MA,21,15,6,0.053948656,0.119594606,0.233673878,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,0_1_3_MC,21,15,6,0.409881842,0.994708597,0.256891552,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,0_1_3_MD,21,15,6,0.380187837,0.909907225,0.25304598,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,0_1_3_ME,30.5,20,10.5,0.227941243,0.493579106,0.149551275,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,0_1_3_ML2,31,20,11,0.067270364,0.140915581,0.141229368,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,0_1_3_ML29,21,15,6,0.218930558,0.496672503,0.239206752,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,1_MA_1_MA,26,NA,NA,1,NA,NA,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,1_MA_1_O,26,NA,NA,-0.457758935,NA,NA,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,1_MA_3_MA,17,NA,NA,0.649434864,NA,NA,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,1_MA_3_O,19,NA,NA,-0.126882944,NA,NA,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,1_MC_1_MC,26,NA,NA,1,NA,NA,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,1_MC_1_O,26,NA,NA,0.242343359,NA,NA,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,1_MC_3_MC,17,NA,NA,-0.003329376,NA,NA,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,1_MC_3_O,19,NA,NA,0.14291896,NA,NA,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,1_MD_1_MD,26,NA,NA,1,NA,NA,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,1_MD_1_O,26,NA,NA,0.440265245,NA,NA,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,1_MD_3_MD,17,NA,NA,0.102848273,NA,NA,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,1_MD_3_O,19,NA,NA,0.175633071,NA,NA,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,1_ME_1_ME,44.5,NA,NA,1,NA,NA,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,1_ME_1_O,43.25,NA,NA,0.429602616,NA,NA,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,1_ME_3_ME,44.5,NA,NA,0.551143936,NA,NA,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,1_ME_3_O,30.5,NA,NA,0.00806028,NA,NA,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,1_ML2_1_ML2,45,NA,NA,1,NA,NA,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,1_ML2_1_O,43.5,NA,NA,0.399130288,NA,NA,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,1_ML2_3_ML2,45,NA,NA,0.706243685,NA,NA,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,1_ML2_3_O,31,NA,NA,0.407018075,NA,NA,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,1_ML29_1_ML29,26,NA,NA,1,NA,NA,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,1_ML29_1_O,26,NA,NA,-0.294155384,NA,NA,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,1_ML29_3_ML29,17,NA,NA,0.483016251,NA,NA,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,1_ML29_3_O,19,NA,NA,-0.096715028,NA,NA,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,1_O_3_MA,20.5,NA,NA,-0.215204206,NA,NA,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,1_O_3_MC,20.5,NA,NA,-0.375459281,NA,NA,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,1_O_3_MD,20.5,NA,NA,-0.340375203,NA,NA,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,1_O_3_ME,43.25,NA,NA,0.169994461,NA,NA,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,1_O_3_ML2,43.5,NA,NA,0.266835363,NA,NA,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,1_O_3_ML29,20.5,NA,NA,-0.386743656,NA,NA,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,3_MA_3_MA,21,NA,NA,1,NA,NA,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,3_MA_3_O,21,NA,NA,-0.352514197,NA,NA,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,3_MC_3_MC,21,NA,NA,1,NA,NA,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,3_MC_3_O,21,NA,NA,0.296723313,NA,NA,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,3_MD_3_MD,21,NA,NA,1,NA,NA,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,3_MD_3_O,21,NA,NA,0.401719796,NA,NA,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,3_ME_3_ME,44.5,NA,NA,1,NA,NA,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,3_ME_3_O,30.5,NA,NA,0.418019025,NA,NA,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,3_ML2_3_ML2,45,NA,NA,1,NA,NA,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,3_ML2_3_O,31,NA,NA,0.687908811,NA,NA,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,3_ML29_3_ML29,21,NA,NA,1,NA,NA,0,0,0,0,0,0,0
92,1,1,Mufson et al. (1999),IPT-i v. AP,3_ML29_3_O,21,NA,NA,-0.14202132,NA,NA,0,0,0,0,0,0,0
106,1,0,Reed (1994),CBT-g v. AP,0_1_1_MA,18,12,6,-0.084490075,-0.179873686,0.250898737,0,0,0,0,0,0,0
106,1,0,Reed (1994),CBT-g v. AP,0_1_1_ME,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0
106,1,0,Reed (1994),CBT-g v. AP,0_1_3_MA,15,11,4,0.109128699,0.248259251,0.342963513,0,0,0,0,0,0,0
106,1,0,Reed (1994),CBT-g v. AP,1_MA_1_MA,18,NA,NA,1,NA,NA,0,0,0,0,0,0,0
106,1,0,Reed (1994),CBT-g v. AP,1_MC_1_MC,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0
106,1,0,Reed (1994),CBT-g v. AP,1_ME_1_ME,18,NA,NA,1,NA,NA,0,0,0,0,0,0,0
106,1,0,Reed (1994),CBT-g v. AP,1_ML2_1_ML2,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0
106,1,0,Reed (1994),CBT-g v. AP,3_MA_3_MA,15,NA,NA,1,NA,NA,0,0,0,0,0,0,0
106,1,0,Reed (1994),CBT-g v. AP,3_MC_3_MC,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0
106,1,0,Reed (1994),CBT-g v. AP,3_ME_3_ME,18,NA,NA,1,NA,NA,0,0,0,0,0,0,0
106,1,0,Reed (1994),CBT-g v. AP,3_ML2_3_ML2,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0
107,1,0,Reynolds & Coats (1986),CBT-g v. WL,0_1_1_MA,19,9,10,0.105571031,0.22215266,0.215578373,0,0,0,0,0,0,0
107,1,0,Reynolds & Coats (1986),CBT-g v. WL,0_1_3_MA,15,6,9,-0.00140495,-0.003283004,0.290877999,0,0,0,0,0,0,0
107,1,0,Reynolds & Coats (1986),CBT-g v. WL,1_MA_1_MA,19,NA,NA,1,NA,NA,0,0,0,0,0,0,0
107,1,0,Reynolds & Coats (1986),CBT-g v. WL,1_MC_1_MC,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0
107,1,0,Reynolds & Coats (1986),CBT-g v. WL,1_ME_1_ME,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0
107,1,0,Reynolds & Coats (1986),CBT-g v. WL,1_ML2_1_ML2,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0
107,1,0,Reynolds & Coats (1986),CBT-g v. WL,3_MA_3_MA,15,NA,NA,1,NA,NA,0,0,0,0,0,0,0
107,1,0,Reynolds & Coats (1986),CBT-g v. WL,3_MC_3_MC,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0
107,1,0,Reynolds & Coats (1986),CBT-g v. WL,3_ME_3_ME,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0
107,1,0,Reynolds & Coats (1986),CBT-g v. WL,3_ML2_3_ML2,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0
222,1,0,Stark et al. (1987),CBT-g v. WL,0_1_1_MA,18,9,9,-0.198827422,-0.405755957,0.226795497,0,0,0,0,0,0,0
222,1,0,Stark et al. (1987),CBT-g v. WL,0_1_1_ME,17,8,9,-0.228789798,-0.470862546,0.242632039,0,0,0,0,0,0,0
222,1,0,Stark et al. (1987),CBT-g v. WL,0_1_3_MA,18,9,9,0.42892134,0.949632397,0.247272269,0,0,0,0,0,0,0
222,1,0,Stark et al. (1987),CBT-g v. WL,0_1_3_ME,18,9,9,0.140419239,0.283648832,0.224457129,0,0,0,0,0,0,0
222,1,0,Stark et al. (1987),CBT-g v. WL,1_MA_1_MA,18,NA,NA,1,NA,NA,0,0,0,0,0,0,0
222,1,0,Stark et al. (1987),CBT-g v. WL,1_MC_1_MC,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0
222,1,0,Stark et al. (1987),CBT-g v. WL,1_ME_1_ME,17,NA,NA,1,NA,NA,0,0,0,0,0,0,0
222,1,0,Stark et al. (1987),CBT-g v. WL,1_ML2_1_ML2,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0
222,1,0,Stark et al. (1987),CBT-g v. WL,3_MA_3_MA,18,NA,NA,1,NA,NA,0,0,0,0,0,0,0
222,1,0,Stark et al. (1987),CBT-g v. WL,3_MC_3_MC,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0
222,1,0,Stark et al. (1987),CBT-g v. WL,3_ME_3_ME,18,NA,NA,1,NA,NA,0,0,0,0,0,0,0
222,1,0,Stark et al. (1987),CBT-g v. WL,3_ML2_3_ML2,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0
428,1,0,Asarnow et al. (2002),CBT-g v. WL,0_1_1_MA,NA,11,12,NA,NA,NA,0,0,0,0,0,0,0
428,1,0,Asarnow et al. (2002),CBT-g v. WL,0_1_1_MC,NA,11,12,NA,NA,NA,0,0,0,0,0,0,0
428,1,0,Asarnow et al. (2002),CBT-g v. WL,0_1_3_MA,23,11,12,0.327836025,0.694684654,0.184733441,0,0,0,0,0,0,0
428,1,0,Asarnow et al. (2002),CBT-g v. WL,0_1_3_MC,NA,11,12,NA,NA,NA,0,0,0,0,0,0,0
428,1,0,Asarnow et al. (2002),CBT-g v. WL,1_MA_1_MA,23,NA,NA,1,NA,NA,0,0,0,0,0,0,0
428,1,0,Asarnow et al. (2002),CBT-g v. WL,1_MC_1_MC,23,NA,NA,1,NA,NA,0,0,0,0,0,0,0
428,1,0,Asarnow et al. (2002),CBT-g v. WL,1_ME_1_ME,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0
428,1,0,Asarnow et al. (2002),CBT-g v. WL,1_ML2_1_ML2,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0
428,1,0,Asarnow et al. (2002),CBT-g v. WL,3_MA_3_MA,23,NA,NA,1,NA,NA,0,0,0,0,0,0,0
428,1,0,Asarnow et al. (2002),CBT-g v. WL,3_MC_3_MC,23,NA,NA,1,NA,NA,0,0,0,0,0,0,0
428,1,0,Asarnow et al. (2002),CBT-g v. WL,3_ME_3_ME,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0
428,1,0,Asarnow et al. (2002),CBT-g v. WL,3_ML2_3_ML2,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0
463,1,0,Lewinsohn et al. (1990),CBT-g + P v. WL,0_1_1_MA,36.33333333,18,18.33333333,0.088186114,0.182380408,0.112682473,0,0,0,0,0,0,0
463,1,0,Lewinsohn et al. (1990),CBT-g + P v. WL,0_1_1_MB,38,19,19,-0.170508133,-0.346084231,0.106839135,0,0,0,0,0,0,0
463,1,0,Lewinsohn et al. (1990),CBT-g + P v. WL,0_1_1_MD,38.5,19.5,19,-0.03825988,-0.079612451,0.10542374,0,0,0,0,0,0,0
463,1,0,Lewinsohn et al. (1990),CBT-g + P v. WL,0_1_1_ME,38,20,18,-0.172887989,-0.351549703,0.107181703,0,0,0,0,0,0,0
463,1,0,Lewinsohn et al. (1990),CBT-g + P v. WL,0_1_1_ML2,38,19,19,0.043294194,0.086670521,0.105362349,0,0,0,0,0,0,0
463,1,0,Lewinsohn et al. (1990),CBT-g + P v. WL,0_1_3_MA,34,16.66666667,17.33333333,0.35106825,0.808918323,0.133730232,0,0,0,0,0,0,0
463,1,0,Lewinsohn et al. (1990),CBT-g + P v. WL,0_1_3_MB,38,19,19,0.007206546,0.014413465,0.105265891,0,0,0,0,0,0,0
463,1,0,Lewinsohn et al. (1990),CBT-g + P v. WL,0_1_3_MD,38.5,19.5,19,-0.02147649,-0.061026964,0.117843805,0,0,0,0,0,0,0
463,1,0,Lewinsohn et al. (1990),CBT-g + P v. WL,0_1_3_ME,37,19,18,0.066882074,0.134113324,0.108430194,0,0,0,0,0,0,0
463,1,0,Lewinsohn et al. (1990),CBT-g + P v. WL,0_1_3_ML2,38,19,19,-0.012735903,-0.026441348,0.106596892,0,0,0,0,0,0,0
463,1,0,Lewinsohn et al. (1990),CBT-g + P v. WL,1_MA_1_MA,36.66666667,NA,NA,1,NA,NA,0,0,0,0,0,0,0
463,1,0,Lewinsohn et al. (1990),CBT-g + P v. WL,1_MA_1_O,36.66666667,NA,NA,0.38495,NA,NA,0,0,0,0,0,0,0
463,1,0,Lewinsohn et al. (1990),CBT-g + P v. WL,1_MA_3_MA,39,NA,NA,0.5212,NA,NA,0,0,0,0,0,0,0
463,1,0,Lewinsohn et al. (1990),CBT-g + P v. WL,1_MA_3_O,36.66666667,NA,NA,0.153266667,NA,NA,0,0,0,0,0,0,0
463,1,0,Lewinsohn et al. (1990),CBT-g + P v. WL,1_MB_1_MB,37,NA,NA,1,NA,NA,0,0,0,0,0,0,0
463,1,0,Lewinsohn et al. (1990),CBT-g + P v. WL,1_MB_1_O,37,NA,NA,0.2403,NA,NA,0,0,0,0,0,0,0
463,1,0,Lewinsohn et al. (1990),CBT-g + P v. WL,1_MB_3_MB,36,NA,NA,0.5799,NA,NA,0,0,0,0,0,0,0
463,1,0,Lewinsohn et al. (1990),CBT-g + P v. WL,1_MB_3_O,37,NA,NA,0.07765,NA,NA,0,0,0,0,0,0,0
463,1,0,Lewinsohn et al. (1990),CBT-g + P v. WL,1_MC_1_MC,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0
463,1,0,Lewinsohn et al. (1990),CBT-g + P v. WL,1_MD_1_MD,39,NA,NA,1,NA,NA,0,0,0,0,0,0,0
463,1,0,Lewinsohn et al. (1990),CBT-g + P v. WL,1_MD_1_O,39,NA,NA,-0.0103,NA,NA,0,0,0,0,0,0,0
463,1,0,Lewinsohn et al. (1990),CBT-g + P v. WL,1_MD_3_MD,39,NA,NA,0.64855,NA,NA,0,0,0,0,0,0,0
463,1,0,Lewinsohn et al. (1990),CBT-g + P v. WL,1_MD_3_O,39,NA,NA,-0.10105,NA,NA,0,0,0,0,0,0,0
463,1,0,Lewinsohn et al. (1990),CBT-g + P v. WL,1_ME_1_ME,38,NA,NA,1,NA,NA,0,0,0,0,0,0,0
463,1,0,Lewinsohn et al. (1990),CBT-g + P v. WL,1_ME_1_O,38,NA,NA,-0.11845,NA,NA,0,0,0,0,0,0,0
463,1,0,Lewinsohn et al. (1990),CBT-g + P v. WL,1_ME_3_ME,37,NA,NA,0.6907,NA,NA,0,0,0,0,0,0,0
